date,type,amount,address,coupled,coupling_info,txid
2025-09-27 01:08:18,OUT,108.16,THL2TqtjHNRp2RkQnbefRgL7ZNfbc8NcvB,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,eeb2ffd9ff45d00e119fb3303c3c1a4a2acb0457df2e34eb2601b8beb296602d
2025-09-27 01:17:33,OUT,1105.0,TVw66GT1ksBD5L9G1WXsQcTRUSfNyy2ooZ,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,977d3f7c24704e47811f597dfa9add1c6dbb51552b5493cea4af6aa9b64fd012
2025-09-27 02:18:15,OUT,36.03405,TDyDyY1PJHm5w3WvbyWEyVmortxWLXix9K,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,6cab3d374b35005ae0e0aca21733b286482fc6d6676a8b3453974a3d58507b32
2025-09-27 02:25:45,OUT,190.2589,TZ3omozCPLKHttefQqh23KdXQs78HoKcNJ,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,7cef22525f2f841111d41fcbd0e00e34fadb96c95c5469639fba851f3e90edf2
2025-09-27 02:31:45,OUT,367.13625,TKLmjMVKmSe9yxHG3ueDtRnrMTqFiAfkLb,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,2e3af816d7a1fca5fb196757e3641795f77bc2cfea1133ce7b987569364aa457
2025-09-27 02:41:30,OUT,133.7271,THHekjmwEnmmGMCEfPBhzXn6iCTw93aSaB,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,5050b96f88e2564ca5da4c4985e5318a0c98069cce8c0aad88c8aa0b96fe2a2d
2025-09-27 02:49:15,OUT,106.4778,TK6emgWaVhi8c63SnYQ3ketYi1thMBLEDw,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,7d9aab833e4bb88b79e7a47ebe9a3c36498496b5189b6299953d68ddeb70b9d0
2025-09-27 02:55:15,OUT,53.261,TBq6E7Ysa75Q7zcn1nPq7GfmawZt7hQhQ4,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,ab44ade3713ccb23ea9b079cfb09dfaf149f58505cff64c6ce518f9bcaba5284
2025-09-27 03:02:15,OUT,26.4537,TBoCsDpCaYFaSs2MMrR6Fb38zw9sA9tAni,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,56b18dcbb48d4fc1f252339e1aad467052cb451301f3a1f163ca1abe681c382a
2025-09-27 03:12:03,OUT,18.02255,THCgLCbfa7DVYNhWfcL5umcqP5Z5wZ8C6E,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,04ff20e524934ce564825d632709ca8b209c0429b8dd112a8bb3ec76eb0b32d3
2025-09-27 03:55:42,OUT,21.09,TE5KCVkbKC5KSRPTDEcEeeh9i1fggBPfpB,True,Coupled with 4524.511991 IN at 2025-09-27 00:44:51,cec8a82af321f62c7aa43398e421d0ae533e0074dd669e933281290febeb9c32
